opening,num_simulations,1-0,0-1,1/2-1/2,invalid,white_win_rate,black_win_rate,draw_rate
e4,1000,462,497,41,0,0.462,0.497,0.041
d4,1000,488,465,47,0,0.488,0.465,0.047
Sicilian Defense,1000,473,482,45,0,0.473,0.482,0.045
Ruy Lopez,1000,503,450,47,0,0.503,0.45,0.047
e4,5000,2348,2452,200,0,0.4696,0.4904,0.04
d4,5000,2441,2355,204,0,0.4882,0.471,0.0408
Sicilian Defense,5000,2343,2452,205,0,0.4686,0.4904,0.041
Ruy Lopez,5000,2508,2288,204,0,0.5016,0.4576,0.0408
e4,10000,4718,4851,431,0,0.4718,0.4851,0.0431
d4,10000,4856,4732,412,0,0.4856,0.4732,0.0412
Sicilian Defense,10000,4610,4982,408,0,0.461,0.4982,0.0408
Ruy Lopez,10000,5019,4585,396,0,0.5019,0.4585,0.0396
